Nro,PRODUCTO,RUBRO,ANHO,MES,PRECIO
1,Panificado,Pan Felipito,2012,ENERO,3188
2,Panificado,Pan Felipito,2012,FEBRERO,3020
3,Panificado,Pan Felipito,2012,MARZO,3187
4,Panificado,Pan Felipito,2012,ABRIL,3074
5,Panificado,Pan Felipito,2012,MAYO,3120
6,Panificado,Pan Felipito,2012,JUNIO,3186
7,Panificado,Pan Felipito,2012,JULIO,3063
8,Panificado,Pan Felipito,2012,AGOSTO,3256
9,Panificado,Pan Felipito,2012,SETIEMBRE,3168
10,Panificado,Pan Felipito,2012,OCTUBRE,3288
11,Panificado,Pan Felipito,2012,NOVIEMBRE,3215
12,Panificado,Pan Felipito,2012,DICIEMBRE,3183
14,Panificado,Galleta,2012,ENERO,3625
15,Panificado,Galleta,2012,FEBRERO,3662
16,Panificado,Galleta,2012,MARZO,3669
17,Panificado,Galleta,2012,ABRIL,3919
18,Panificado,Galleta,2012,MAYO,3779
19,Panificado,Galleta,2012,JUNIO,3706
20,Panificado,Galleta,2012,JULIO,3658
21,Panificado,Galleta,2012,AGOSTO,3923
22,Panificado,Galleta,2012,SETIEMBRE,3750
23,Panificado,Galleta,2012,OCTUBRE,3783
24,Panificado,Galleta,2012,NOVIEMBRE,3817
25,Panificado,Galleta,2012,DICIEMBRE,3806
27,Panificado,Kokito,2012,ENERO,6790
28,Panificado,Kokito,2012,FEBRERO,6809
29,Panificado,Kokito,2012,MARZO,6588
30,Panificado,Kokito,2012,ABRIL,6848
31,Panificado,Kokito,2012,MAYO,6836
32,Panificado,Kokito,2012,JUNIO,6392
33,Panificado,Kokito,2012,JULIO,6662
34,Panificado,Kokito,2012,AGOSTO,6662
35,Panificado,Kokito,2012,SETIEMBRE,7094
36,Panificado,Kokito,2012,OCTUBRE,7051
37,Panificado,Kokito,2012,NOVIEMBRE,7197
38,Panificado,Kokito,2012,DICIEMBRE,7276
40,A granel - 1kg,Fideo,2012,ENERO,2955
41,A granel - 1kg,Fideo,2012,FEBRERO,2930
42,A granel - 1kg,Fideo,2012,MARZO,3021
43,A granel - 1kg,Fideo,2012,ABRIL,2797
44,A granel - 1kg,Fideo,2012,MAYO,2868
45,A granel - 1kg,Fideo,2012,JUNIO,2722
46,A granel - 1kg,Fideo,2012,JULIO,2668
47,A granel - 1kg,Fideo,2012,AGOSTO,2652
48,A granel - 1kg,Fideo,2012,SETIEMBRE,2713
49,A granel - 1kg,Fideo,2012,OCTUBRE,2647
50,A granel - 1kg,Fideo,2012,NOVIEMBRE,2638
51,A granel - 1kg,Fideo,2012,DICIEMBRE,2682
53,A granel - 1kg,Poroto,2012,ENERO,6176
54,A granel - 1kg,Poroto,2012,FEBRERO,6364
55,A granel - 1kg,Poroto,2012,MARZO,7314
56,A granel - 1kg,Poroto,2012,ABRIL,5979
57,A granel - 1kg,Poroto,2012,MAYO,6864
58,A granel - 1kg,Poroto,2012,JUNIO,7672
59,A granel - 1kg,Poroto,2012,JULIO,6856
60,A granel - 1kg,Poroto,2012,AGOSTO,7527
61,A granel - 1kg,Poroto,2012,SETIEMBRE,7827
62,A granel - 1kg,Poroto,2012,OCTUBRE,7723
63,A granel - 1kg,Poroto,2012,NOVIEMBRE,7517
64,A granel - 1kg,Poroto,2012,DICIEMBRE,7123
66,A granel - 1kg,Arroz,2012,ENERO,3037
67,A granel - 1kg,Arroz,2012,FEBRERO,2770
68,A granel - 1kg,Arroz,2012,MARZO,2676
69,A granel - 1kg,Arroz,2012,ABRIL,2311
70,A granel - 1kg,Arroz,2012,MAYO,2646
71,A granel - 1kg,Arroz,2012,JUNIO,2577
72,A granel - 1kg,Arroz,2012,JULIO,2478
73,A granel - 1kg,Arroz,2012,AGOSTO,2742
74,A granel - 1kg,Arroz,2012,SETIEMBRE,2545
75,A granel - 1kg,Arroz,2012,OCTUBRE,2803
76,A granel - 1kg,Arroz,2012,NOVIEMBRE,3065
77,A granel - 1kg,Arroz,2012,DICIEMBRE,2923
79,A granel - 1kg,Azúcar,2012,ENERO,5712
80,A granel - 1kg,Azúcar,2012,FEBRERO,5751
81,A granel - 1kg,Azúcar,2012,MARZO,5574
82,A granel - 1kg,Azúcar,2012,ABRIL,5094
83,A granel - 1kg,Azúcar,2012,MAYO,5020
84,A granel - 1kg,Azúcar,2012,JUNIO,4837
85,A granel - 1kg,Azúcar,2012,JULIO,4609
86,A granel - 1kg,Azúcar,2012,AGOSTO,5004
87,A granel - 1kg,Azúcar,2012,SETIEMBRE,5031
88,A granel - 1kg,Azúcar,2012,OCTUBRE,4935
89,A granel - 1kg,Azúcar,2012,NOVIEMBRE,4759
90,A granel - 1kg,Azúcar,2012,DICIEMBRE,4489
92,A granel - 1kg,Harina,2012,ENERO,2216
93,A granel - 1kg,Harina,2012,FEBRERO,2091
94,A granel - 1kg,Harina,2012,MARZO,2246
95,A granel - 1kg,Harina,2012,ABRIL,2038
96,A granel - 1kg,Harina,2012,MAYO,2122
97,A granel - 1kg,Harina,2012,JUNIO,2178
98,A granel - 1kg,Harina,2012,JULIO,2082
99,A granel - 1kg,Harina,2012,AGOSTO,2128
100,A granel - 1kg,Harina,2012,SETIEMBRE,2150
101,A granel - 1kg,Harina,2012,OCTUBRE,2150
102,A granel - 1kg,Harina,2012,NOVIEMBRE,2218
103,A granel - 1kg,Harina,2012,DICIEMBRE,2282
105,A granel - 1kg,Maíz,2012,ENERO,3285
106,A granel - 1kg,Maíz,2012,FEBRERO,2747
107,A granel - 1kg,Maíz,2012,MARZO,3177
108,A granel - 1kg,Maíz,2012,ABRIL,2805
109,A granel - 1kg,Maíz,2012,MAYO,3032
110,A granel - 1kg,Maíz,2012,JUNIO,4008
111,A granel - 1kg,Maíz,2012,JULIO,4044
112,A granel - 1kg,Maíz,2012,AGOSTO,3449
113,A granel - 1kg,Maíz,2012,SETIEMBRE,4380
114,A granel - 1kg,Maíz,2012,OCTUBRE,3490
115,A granel - 1kg,Maíz,2012,NOVIEMBRE,4105
116,A granel - 1kg,Maíz,2012,DICIEMBRE,6255
118,A granel - 1kg,Yerba,2012,ENERO,3468
119,A granel - 1kg,Yerba,2012,FEBRERO,3532
120,A granel - 1kg,Yerba,2012,MARZO,4007
121,A granel - 1kg,Yerba,2012,ABRIL,3636
122,A granel - 1kg,Yerba,2012,MAYO,3327
123,A granel - 1kg,Yerba,2012,JUNIO,4288
124,A granel - 1kg,Yerba,2012,JULIO,4797
125,A granel - 1kg,Yerba,2012,AGOSTO,3954
126,A granel - 1kg,Yerba,2012,SETIEMBRE,5721
127,A granel - 1kg,Yerba,2012,OCTUBRE,5958
128,A granel - 1kg,Yerba,2012,NOVIEMBRE,5467
129,A granel - 1kg,Yerba,2012,DICIEMBRE,5642
131,Carne bovina - 1kg,Puchero de primera,2012,ENERO,11433
132,Carne bovina - 1kg,Puchero de primera,2012,FEBRERO,10454
133,Carne bovina - 1kg,Puchero de primera,2012,MARZO,9973
134,Carne bovina - 1kg,Puchero de primera,2012,ABRIL,9304
135,Carne bovina - 1kg,Puchero de primera,2012,MAYO,9889
136,Carne bovina - 1kg,Puchero de primera,2012,JUNIO,9907
137,Carne bovina - 1kg,Puchero de primera,2012,JULIO,9792
138,Carne bovina - 1kg,Puchero de primera,2012,AGOSTO,10157
