Nro,PRODUCTO,RUBRO,ANHO,MES,PRECIO
1,Panificado,Pan Felipito,2014,ENERO,3917
1,Panificado,Pan Felipito,2014,FEBRERO,3852
1,Panificado,Pan Felipito,2014,MARZO,4070
1,Panificado,Pan Felipito,2014,ABRIL,3933
1,Panificado,Pan Felipito,2014,MAYO,4022
1,Panificado,Pan Felipito,2014,JUNIO,4002
1,Panificado,Pan Felipito,2014,JULIO,4002
1,Panificado,Pan Felipito,2014,AGOSTO,3811
1,Panificado,Pan Felipito,2014,SETIEMBRE,4358
1,Panificado,Pan Felipito,2014,OCTUBRE,3764
1,Panificado,Pan Felipito,2014,NOVIEMBRE,3933
1,Panificado,Pan Felipito,2014,DICIEMBRE,3982
2,Panificado,Galleta,2014,ENERO,4448
2,Panificado,Galleta,2014,FEBRERO,4465
2,Panificado,Galleta,2014,MARZO,4556
2,Panificado,Galleta,2014,ABRIL,4477
2,Panificado,Galleta,2014,MAYO,4690
2,Panificado,Galleta,2014,JUNIO,4542
2,Panificado,Galleta,2014,JULIO,4650
2,Panificado,Galleta,2014,AGOSTO,4370
2,Panificado,Galleta,2014,SETIEMBRE,5458
2,Panificado,Galleta,2014,OCTUBRE,4482
2,Panificado,Galleta,2014,NOVIEMBRE,4477
2,Panificado,Galleta,2014,DICIEMBRE,4568
3,Panificado,Kokito,2014,ENERO,9809
3,Panificado,Kokito,2014,FEBRERO,10000
3,Panificado,Kokito,2014,MARZO,9498
3,Panificado,Kokito,2014,ABRIL,9294
3,Panificado,Kokito,2014,MAYO,9842
3,Panificado,Kokito,2014,JUNIO,9574
3,Panificado,Kokito,2014,JULIO,9164
3,Panificado,Kokito,2014,AGOSTO,8850
3,Panificado,Kokito,2014,SETIEMBRE,9798
3,Panificado,Kokito,2014,OCTUBRE,9176
3,Panificado,Kokito,2014,NOVIEMBRE,9294
3,Panificado,Kokito,2014,DICIEMBRE,9942
4,A granel - 1kg,Fideo,2014,ENERO,3661
4,A granel - 1kg,Fideo,2014,FEBRERO,3604
4,A granel - 1kg,Fideo,2014,MARZO,3988
4,A granel - 1kg,Fideo,2014,ABRIL,3986
4,A granel - 1kg,Fideo,2014,MAYO,3790
4,A granel - 1kg,Fideo,2014,JUNIO,3790
4,A granel - 1kg,Fideo,2014,JULIO,3615
4,A granel - 1kg,Fideo,2014,AGOSTO,3228
4,A granel - 1kg,Fideo,2014,SETIEMBRE,3730
4,A granel - 1kg,Fideo,2014,OCTUBRE,4090
4,A granel - 1kg,Fideo,2014,NOVIEMBRE,3986
4,A granel - 1kg,Fideo,2014,DICIEMBRE,4053
5,A granel - 1kg,Poroto,2014,ENERO,7174
5,A granel - 1kg,Poroto,2014,FEBRERO,7070
5,A granel - 1kg,Poroto,2014,MARZO,6665
5,A granel - 1kg,Poroto,2014,ABRIL,5787
5,A granel - 1kg,Poroto,2014,MAYO,6777
5,A granel - 1kg,Poroto,2014,JUNIO,7027
5,A granel - 1kg,Poroto,2014,JULIO,7320
5,A granel - 1kg,Poroto,2014,AGOSTO,6508
5,A granel - 1kg,Poroto,2014,SETIEMBRE,8273
5,A granel - 1kg,Poroto,2014,OCTUBRE,7697
5,A granel - 1kg,Poroto,2014,NOVIEMBRE,5787
5,A granel - 1kg,Poroto,2014,DICIEMBRE,8893
6,A granel - 1kg,Arroz,2014,ENERO,2751
6,A granel - 1kg,Arroz,2014,FEBRERO,2954
6,A granel - 1kg,Arroz,2014,MARZO,2284
6,A granel - 1kg,Arroz,2014,ABRIL,2160
6,A granel - 1kg,Arroz,2014,MAYO,2430
6,A granel - 1kg,Arroz,2014,JUNIO,3355
6,A granel - 1kg,Arroz,2014,JULIO,2815
6,A granel - 1kg,Arroz,2014,AGOSTO,2634
6,A granel - 1kg,Arroz,2014,SETIEMBRE,2793
6,A granel - 1kg,Arroz,2014,OCTUBRE,2805
6,A granel - 1kg,Arroz,2014,NOVIEMBRE,2160
6,A granel - 1kg,Arroz,2014,DICIEMBRE,2973
7,A granel - 1kg,Azúcar,2014,ENERO,3538
7,A granel - 1kg,Azúcar,2014,FEBRERO,3368
7,A granel - 1kg,Azúcar,2014,MARZO,3593
7,A granel - 1kg,Azúcar,2014,ABRIL,3753
7,A granel - 1kg,Azúcar,2014,MAYO,3718
7,A granel - 1kg,Azúcar,2014,JUNIO,3680
7,A granel - 1kg,Azúcar,2014,JULIO,3740
7,A granel - 1kg,Azúcar,2014,AGOSTO,3187
7,A granel - 1kg,Azúcar,2014,SETIEMBRE,3683
7,A granel - 1kg,Azúcar,2014,OCTUBRE,3695
7,A granel - 1kg,Azúcar,2014,NOVIEMBRE,3753
7,A granel - 1kg,Azúcar,2014,DICIEMBRE,3508
8,A granel - 1kg,Harina,2014,ENERO,3408
8,A granel - 1kg,Harina,2014,FEBRERO,3427
8,A granel - 1kg,Harina,2014,MARZO,3510
8,A granel - 1kg,Harina,2014,ABRIL,3596
8,A granel - 1kg,Harina,2014,MAYO,3433
8,A granel - 1kg,Harina,2014,JUNIO,3505
8,A granel - 1kg,Harina,2014,JULIO,3255
8,A granel - 1kg,Harina,2014,AGOSTO,3159
8,A granel - 1kg,Harina,2014,SETIEMBRE,3627
8,A granel - 1kg,Harina,2014,OCTUBRE,3010
8,A granel - 1kg,Harina,2014,NOVIEMBRE,3596
8,A granel - 1kg,Harina,2014,DICIEMBRE,3355
9,A granel - 1kg,Maíz,2014,ENERO,4400
9,A granel - 1kg,Maíz,2014,FEBRERO,3810
9,A granel - 1kg,Maíz,2014,MARZO,4497
9,A granel - 1kg,Maíz,2014,ABRIL,4500
9,A granel - 1kg,Maíz,2014,MAYO,3643
9,A granel - 1kg,Maíz,2014,JUNIO,4200
9,A granel - 1kg,Maíz,2014,JULIO,3697
9,A granel - 1kg,Maíz,2014,AGOSTO,3793
9,A granel - 1kg,Maíz,2014,SETIEMBRE,2233
9,A granel - 1kg,Maíz,2014,OCTUBRE,3525
9,A granel - 1kg,Maíz,2014,NOVIEMBRE,4500
9,A granel - 1kg,Maíz,2014,DICIEMBRE,5580
10,A granel - 1kg,Yerba,2014,ENERO,9881
10,A granel - 1kg,Yerba,2014,FEBRERO,10115
10,A granel - 1kg,Yerba,2014,MARZO,10228
10,A granel - 1kg,Yerba,2014,ABRIL,11330
10,A granel - 1kg,Yerba,2014,MAYO,10945
10,A granel - 1kg,Yerba,2014,JUNIO,12245
10,A granel - 1kg,Yerba,2014,JULIO,12295
10,A granel - 1kg,Yerba,2014,AGOSTO,7048
10,A granel - 1kg,Yerba,2014,SETIEMBRE,10475
10,A granel - 1kg,Yerba,2014,OCTUBRE,11697
10,A granel - 1kg,Yerba,2014,NOVIEMBRE,11330
10,A granel - 1kg,Yerba,2014,DICIEMBRE,10935
11,Carne bovina - 1kg,Puchero de primera,2014,ENERO,14363
11,Carne bovina - 1kg,Puchero de primera,2014,FEBRERO,13782
11,Carne bovina - 1kg,Puchero de primera,2014,MARZO,12223
11,Carne bovina - 1kg,Puchero de primera,2014,ABRIL,11130
11,Carne bovina - 1kg,Puchero de primera,2014,MAYO,11584
11,Carne bovina - 1kg,Puchero de primera,2014,JUNIO,11742
11,Carne bovina - 1kg,Puchero de primera,2014,JULIO,12032
11,Carne bovina - 1kg,Puchero de primera,2014,AGOSTO,12497
11,Carne bovina - 1kg,Puchero de primera,2014,SETIEMBRE,14470
11,Carne bovina - 1kg,Puchero de primera,2014,OCTUBRE,13659
11,Carne bovina - 1kg,Puchero de primera,2014,NOVIEMBRE,11130
11,Carne bovina - 1kg,Puchero de primera,2014,DICIEMBRE,14467
12,Carne bovina - 1kg,Carnaza de negra,2014,ENERO,28644
12,Carne bovina - 1kg,Carnaza de negra,2014,FEBRERO,27534
12,Carne bovina - 1kg,Carnaza de negra,2014,MARZO,27494
12,Carne bovina - 1kg,Carnaza de negra,2014,ABRIL,27270
12,Carne bovina - 1kg,Carnaza de negra,2014,MAYO,28654
12,Carne bovina - 1kg,Carnaza de negra,2014,JUNIO,27972
12,Carne bovina - 1kg,Carnaza de negra,2014,JULIO,30132
12,Carne bovina - 1kg,Carnaza de negra,2014,AGOSTO,25919
12,Carne bovina - 1kg,Carnaza de negra,2014,SETIEMBRE,27343
12,Carne bovina - 1kg,Carnaza de negra,2014,OCTUBRE,25858
12,Carne bovina - 1kg,Carnaza de negra,2014,NOVIEMBRE,27270
12,Carne bovina - 1kg,Carnaza de negra,2014,DICIEMBRE,26505
13,Carne bovina - 1kg,Carnaza de blanca,2014,ENERO,24351
13,Carne bovina - 1kg,Carnaza de blanca,2014,FEBRERO,24952
13,Carne bovina - 1kg,Carnaza de blanca,2014,MARZO,24920
13,Carne bovina - 1kg,Carnaza de blanca,2014,ABRIL,24236
13,Carne bovina - 1kg,Carnaza de blanca,2014,MAYO,24674
