Nro,PRODUCTO,RUBRO,ANHO,MES,PRECIO
1,Panificado,Pan Felipito,2015,ENERO,3447
2,Panificado,Pan Felipito,2015,FEBRERO,3934
3,Panificado,Pan Felipito,2015,MARZO,3876
4,Panificado,Pan Felipito,2015,ABRIL,4024
5,Panificado,Pan Felipito,2015,MAYO,4012
6,Panificado,Pan Felipito,2015,JUNIO,3982
7,Panificado,Pan Felipito,2015,JULIO,3710
8,Panificado,Pan Felipito,2015,AGOSTO,3706
9,Panificado,Galleta,2015,ENERO,4013
10,Panificado,Galleta,2015,FEBRERO,4427
11,Panificado,Galleta,2015,MARZO,4548
12,Panificado,Galleta,2015,ABRIL,4573
13,Panificado,Galleta,2015,MAYO,4542
14,Panificado,Galleta,2015,JUNIO,4568
15,Panificado,Galleta,2015,JULIO,4210
16,Panificado,Galleta,2015,AGOSTO,4280
17,Panificado,Kokito,2015,ENERO,8195
18,Panificado,Kokito,2015,FEBRERO,9331
19,Panificado,Kokito,2015,MARZO,10571
20,Panificado,Kokito,2015,ABRIL,9102
21,Panificado,Kokito,2015,MAYO,9574
22,Panificado,Kokito,2015,JUNIO,9942
23,Panificado,Kokito,2015,JULIO,10290
24,Panificado,Kokito,2015,AGOSTO,9360
25,A granel - 1kg,Fideo,2015,ENERO,3054
26,A granel - 1kg,Fideo,2015,FEBRERO,3572
27,A granel - 1kg,Fideo,2015,MARZO,3569
28,A granel - 1kg,Fideo,2015,ABRIL,3661
29,A granel - 1kg,Fideo,2015,MAYO,3790
30,A granel - 1kg,Fideo,2015,JUNIO,4053
31,A granel - 1kg,Fideo,2015,JULIO,3325
32,A granel - 1kg,Fideo,2015,AGOSTO,3388
33,A granel - 1kg,Poroto,2015,ENERO,6902
34,A granel - 1kg,Poroto,2015,FEBRERO,7443
35,A granel - 1kg,Poroto,2015,MARZO,7500
36,A granel - 1kg,Poroto,2015,ABRIL,6935
37,A granel - 1kg,Poroto,2015,MAYO,7027
38,A granel - 1kg,Poroto,2015,JUNIO,8893
39,A granel - 1kg,Poroto,2015,JULIO,8617
40,A granel - 1kg,Poroto,2015,AGOSTO,8275
41,A granel - 1kg,Arroz,2015,ENERO,2744
42,A granel - 1kg,Arroz,2015,FEBRERO,2634
43,A granel - 1kg,Arroz,2015,MARZO,2729
44,A granel - 1kg,Arroz,2015,ABRIL,2564
45,A granel - 1kg,Arroz,2015,MAYO,3355
46,A granel - 1kg,Arroz,2015,JUNIO,2973
47,A granel - 1kg,Arroz,2015,JULIO,2513
48,A granel - 1kg,Arroz,2015,AGOSTO,2300
49,A granel - 1kg,Azúcar,2015,ENERO,3398
50,A granel - 1kg,Azúcar,2015,FEBRERO,3484
51,A granel - 1kg,Azúcar,2015,MARZO,3231
52,A granel - 1kg,Azúcar,2015,ABRIL,3242
53,A granel - 1kg,Azúcar,2015,MAYO,3680
54,A granel - 1kg,Azúcar,2015,JUNIO,3508
55,A granel - 1kg,Azúcar,2015,JULIO,3563
56,A granel - 1kg,Azúcar,2015,AGOSTO,3388
57,A granel - 1kg,Harina,2015,ENERO,2808
58,A granel - 1kg,Harina,2015,FEBRERO,3780
59,A granel - 1kg,Harina,2015,MARZO,3077
60,A granel - 1kg,Harina,2015,ABRIL,3534
61,A granel - 1kg,Harina,2015,MAYO,3505
62,A granel - 1kg,Harina,2015,JUNIO,3355
63,A granel - 1kg,Harina,2015,JULIO,1933
64,A granel - 1kg,Harina,2015,AGOSTO,1713
65,A granel - 1kg,Maíz,2015,ENERO,4757
66,A granel - 1kg,Maíz,2015,FEBRERO,4857
67,A granel - 1kg,Maíz,2015,MARZO,4709
68,A granel - 1kg,Maíz,2015,ABRIL,5246
69,A granel - 1kg,Maíz,2015,MAYO,4200
70,A granel - 1kg,Maíz,2015,JUNIO,5580
71,A granel - 1kg,Maíz,2015,JULIO,3550
72,A granel - 1kg,Maíz,2015,AGOSTO,3900
73,A granel - 1kg,Yerba,2015,ENERO,6740
74,A granel - 1kg,Yerba,2015,FEBRERO,7233
75,A granel - 1kg,Yerba,2015,MARZO,7203
76,A granel - 1kg,Yerba,2015,ABRIL,8832
