Nº,PRODUCTO,RUBRO,ANHO,MES,PRECIO
428,Carne bovina - 1kg,Espinazo Negro,2009,DICIEMBRE,8389
429,Carne bovina - 1kg,Espinazo Negro,2009,PROMEDIO,7775
430,Carne bovina - 1kg,Osobuco,2009,ENERO,s/d
431,Carne bovina - 1kg,Osobuco,2009,FEBRERO,8933
432,Carne bovina - 1kg,Osobuco,2009,MARZO,8269
433,Carne bovina - 1kg,Osobuco,2009,ABRIL,8466
434,Carne bovina - 1kg,Osobuco,2009,MAYO,8211
435,Carne bovina - 1kg,Osobuco,2009,JUNIO,8925
436,Carne bovina - 1kg,Osobuco,2009,JULIO,9661
437,Carne bovina - 1kg,Osobuco,2009,AGOSTO,10020
438,Carne bovina - 1kg,Osobuco,2009,SETIEMBRE,10010
439,Carne bovina - 1kg,Osobuco,2009,OCTUBRE,10381
440,Carne bovina - 1kg,Osobuco,2009,NOVIEMBE,10272
441,Carne bovina - 1kg,Osobuco,2009,DICIEMBRE,10204
442,Carne bovina - 1kg,Osobuco,2009,PROMEDIO,9396
443,Carne bovina - 1kg,Cebo,2009,ENERO,s/d
444,Carne bovina - 1kg,Cebo,2009,FEBRERO,1744
445,Carne bovina - 1kg,Cebo,2009,MARZO,1333
446,Carne bovina - 1kg,Cebo,2009,ABRIL,1202
447,Carne bovina - 1kg,Cebo,2009,MAYO,1249
448,Carne bovina - 1kg,Cebo,2009,JUNIO,1400
449,Carne bovina - 1kg,Cebo,2009,JULIO,1641
450,Carne bovina - 1kg,Cebo,2009,AGOSTO,1771
451,Carne bovina - 1kg,Cebo,2009,SETIEMBRE,1775
452,Carne bovina - 1kg,Cebo,2009,OCTUBRE,1758
453,Carne bovina - 1kg,Cebo,2009,NOVIEMBE,1622
454,Carne bovina - 1kg,Cebo,2009,DICIEMBRE,1577
455,Carne bovina - 1kg,Cebo,2009,PROMEDIO,1552
456,Carne bovina - 1kg,Hueso Blanco,2009,ENERO,s/d
457,Carne bovina - 1kg,Hueso Blanco,2009,FEBRERO,1475
458,Carne bovina - 1kg,Hueso Blanco,2009,MARZO,952
459,Carne bovina - 1kg,Hueso Blanco,2009,ABRIL,962
460,Carne bovina - 1kg,Hueso Blanco,2009,MAYO,1172
461,Carne bovina - 1kg,Hueso Blanco,2009,JUNIO,1241
462,Carne bovina - 1kg,Hueso Blanco,2009,JULIO,1295
463,Carne bovina - 1kg,Hueso Blanco,2009,AGOSTO,1501
464,Carne bovina - 1kg,Hueso Blanco,2009,SETIEMBRE,1419
465,Carne bovina - 1kg,Hueso Blanco,2009,OCTUBRE,1483
466,Carne bovina - 1kg,Hueso Blanco,2009,NOVIEMBE,1470
467,Carne bovina - 1kg,Hueso Blanco,2009,DICIEMBRE,1450
468,Carne bovina - 1kg,Hueso Blanco,2009,PROMEDIO,1311
469,Carne de ave/Puchero-1kg,Marca mas economica,2009,ENERO,5000
470,Carne de ave/Puchero-1kg,Marca mas economica,2009,FEBRERO,5377
471,Carne de ave/Puchero-1kg,Marca mas economica,2009,MARZO,5531
472,Carne de ave/Puchero-1kg,Marca mas economica,2009,ABRIL,5457
473,Carne de ave/Puchero-1kg,Marca mas economica,2009,MAYO,5701
474,Carne de ave/Puchero-1kg,Marca mas economica,2009,JUNIO,5885
475,Carne de ave/Puchero-1kg,Marca mas economica,2009,JULIO,5887
476,Carne de ave/Puchero-1kg,Marca mas economica,2009,AGOSTO,5588
477,Carne de ave/Puchero-1kg,Marca mas economica,2009,SETIEMBRE,5474
478,Carne de ave/Puchero-1kg,Marca mas economica,2009,OCTUBRE,4858
479,Carne de ave/Puchero-1kg,Marca mas economica,2009,NOVIEMBE,4211
480,Carne de ave/Puchero-1kg,Marca mas economica,2009,DICIEMBRE,4160
481,Carne de ave/Puchero-1kg,Marca mas economica,2009,PROMEDIO,5261
482,Carne de ave/pechuga-1kg,Marca mas economica,2009,ENERO,13645
483,Carne de ave/pechuga-1kg,Marca mas economica,2009,FEBRERO,13768
484,Carne de ave/pechuga-1kg,Marca mas economica,2009,MARZO,13684
485,Carne de ave/pechuga-1kg,Marca mas economica,2009,ABRIL,13487
486,Carne de ave/pechuga-1kg,Marca mas economica,2009,MAYO,13134
487,Carne de ave/pechuga-1kg,Marca mas economica,2009,JUNIO,10545
488,Carne de ave/pechuga-1kg,Marca mas economica,2009,JULIO,10418
489,Carne de ave/pechuga-1kg,Marca mas economica,2009,AGOSTO,10027
490,Carne de ave/pechuga-1kg,Marca mas economica,2009,SETIEMBRE,10709
491,Carne de ave/pechuga-1kg,Marca mas economica,2009,OCTUBRE,11368
492,Carne de ave/pechuga-1kg,Marca mas economica,2009,NOVIEMBE,11198
493,Carne de ave/pechuga-1kg,Marca mas economica,2009,DICIEMBRE,11453
494,Carne de ave/pechuga-1kg,Marca mas economica,2009,PROMEDIO,11953
495,Carne de ave/pata entera-1kg,Marca mas economica,2009,ENERO,13188
496,Carne de ave/pata entera-1kg,Marca mas economica,2009,FEBRERO,12549
497,Carne de ave/pata entera-1kg,Marca mas economica,2009,MARZO,12770
498,Carne de ave/pata entera-1kg,Marca mas economica,2009,ABRIL,13421
499,Carne de ave/pata entera-1kg,Marca mas economica,2009,MAYO,12892
500,Carne de ave/pata entera-1kg,Marca mas economica,2009,JUNIO,12102
501,Carne de ave/pata entera-1kg,Marca mas economica,2009,JULIO,13463
502,Carne de ave/pata entera-1kg,Marca mas economica,2009,AGOSTO,14134
503,Carne de ave/pata entera-1kg,Marca mas economica,2009,SETIEMBRE,14127
504,Carne de ave/pata entera-1kg,Marca mas economica,2009,OCTUBRE,12483
505,Carne de ave/pata entera-1kg,Marca mas economica,2009,NOVIEMBE,12865
506,Carne de ave/pata entera-1kg,Marca mas economica,2009,DICIEMBRE,12909
507,Carne de ave/pata entera-1kg,Marca mas economica,2009,PROMEDIO,13075
508,Carne de ave/pollo entero-1kg,Marca mas economica,2009,ENERO,9149
509,Carne de ave/pollo entero-1kg,Marca mas economica,2009,FEBRERO,8921
510,Carne de ave/pollo entero-1kg,Marca mas economica,2009,MARZO,9084
511,Carne de ave/pollo entero-1kg,Marca mas economica,2009,ABRIL,8926
512,Carne de ave/pollo entero-1kg,Marca mas economica,2009,MAYO,9034
513,Carne de ave/pollo entero-1kg,Marca mas economica,2009,JUNIO,8706
514,Carne de ave/pollo entero-1kg,Marca mas economica,2009,JULIO,8828
515,Carne de ave/pollo entero-1kg,Marca mas economica,2009,AGOSTO,8684
516,Carne de ave/pollo entero-1kg,Marca mas economica,2009,SETIEMBRE,8844
517,Carne de ave/pollo entero-1kg,Marca mas economica,2009,OCTUBRE,8687
518,Carne de ave/pollo entero-1kg,Marca mas economica,2009,NOVIEMBE,8540
519,Carne de ave/pollo entero-1kg,Marca mas economica,2009,DICIEMBRE,8452
520,Carne de ave/pollo entero-1kg,Marca mas economica,2009,PROMEDIO,8821
521,Carne de ave/Ala-1kg,Marca mas economica,2009,ENERO,9430
522,Carne de ave/Ala-1kg,Marca mas economica,2009,FEBRERO,10245
523,Carne de ave/Ala-1kg,Marca mas economica,2009,MARZO,10207
524,Carne de ave/Ala-1kg,Marca mas economica,2009,ABRIL,10212
525,Carne de ave/Ala-1kg,Marca mas economica,2009,MAYO,9990
526,Carne de ave/Ala-1kg,Marca mas economica,2009,JUNIO,9987
527,Carne de ave/Ala-1kg,Marca mas economica,2009,JULIO,10114
528,Carne de ave/Ala-1kg,Marca mas economica,2009,AGOSTO,10459
529,Carne de ave/Ala-1kg,Marca mas economica,2009,SETIEMBRE,10405
530,Carne de ave/Ala-1kg,Marca mas economica,2009,OCTUBRE,10352
531,Carne de ave/Ala-1kg,Marca mas economica,2009,NOVIEMBE,10981
532,Carne de ave/Ala-1kg,Marca mas economica,2009,DICIEMBRE,11662
533,Carne de ave/Ala-1kg,Marca mas economica,2009,PROMEDIO,10337
534,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,ENERO,7679
535,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,FEBRERO,7231
536,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,MARZO,7207
537,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,ABRIL,7158
538,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,MAYO,7136
539,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,JUNIO,7102
540,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,JULIO,7053
541,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,AGOSTO,7021
542,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,SETIEMBRE,7085
543,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,OCTUBRE,7123
544,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,NOVIEMBE,7549
545,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,DICIEMBRE,7626
546,Carne de ave/Tacaraa-1kg,Marca mas economica,2009,PROMEDIO,7247
547,Carne de ave / H¡gado-1kg,Marca mas economica,2009,ENERO,3559
548,Carne de ave / H¡gado-1kg,Marca mas economica,2009,FEBRERO,3400
549,Carne de ave / H¡gado-1kg,Marca mas economica,2009,MARZO,3362
550,Carne de ave / H¡gado-1kg,Marca mas economica,2009,ABRIL,3397
551,Carne de ave / H¡gado-1kg,Marca mas economica,2009,MAYO,3375
552,Carne de ave / H¡gado-1kg,Marca mas economica,2009,JUNIO,3379
553,Carne de ave / H¡gado-1kg,Marca mas economica,2009,JULIO,3390
554,Carne de ave / H¡gado-1kg,Marca mas economica,2009,AGOSTO,3413
555,Carne de ave / H¡gado-1kg,Marca mas economica,2009,SETIEMBRE,3346
556,Carne de ave / H¡gado-1kg,Marca mas economica,2009,OCTUBRE,3458
557,Carne de ave / H¡gado-1kg,Marca mas economica,2009,NOVIEMBE,3566
558,Carne de ave / H¡gado-1kg,Marca mas economica,2009,DICIEMBRE,2759
559,Carne de ave / H¡gado-1kg,Marca mas economica,2009,PROMEDIO,3367
560,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,ENERO,10809
561,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,FEBRERO,10773
562,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,MARZO,10502
563,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,ABRIL,10460
564,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,MAYO,10580
565,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,JUNIO,10566
566,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,JULIO,10569
567,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,AGOSTO,10507
568,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,SETIEMBRE,10652
569,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,OCTUBRE,10605
570,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,NOVIEMBE,10686
571,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,DICIEMBRE,10971
572,Carne de ave / Corazoncito-1kg,Marca mas economica,2009,PROMEDIO,10640
573,Embutido/chorizo viena- 1kg,Marca mas economica,2009,ENERO,13926
574,Embutido/chorizo viena- 1kg,Marca mas economica,2009,FEBRERO,13742
575,Embutido/chorizo viena- 1kg,Marca mas economica,2009,MARZO,13848
576,Embutido/chorizo viena- 1kg,Marca mas economica,2009,ABRIL,13623
577,Embutido/chorizo viena- 1kg,Marca mas economica,2009,MAYO,13183
578,Embutido/chorizo viena- 1kg,Marca mas economica,2009,JUNIO,12993
579,Embutido/chorizo viena- 1kg,Marca mas economica,2009,JULIO,13169
580,Embutido/chorizo viena- 1kg,Marca mas economica,2009,AGOSTO,13256
581,Embutido/chorizo viena- 1kg,Marca mas economica,2009,SETIEMBRE,12926
582,Embutido/chorizo viena- 1kg,Marca mas economica,2009,OCTUBRE,13282
583,Embutido/chorizo viena- 1kg,Marca mas economica,2009,NOVIEMBE,14440
584,Embutido/chorizo viena- 1kg,Marca mas economica,2009,DICIEMBRE,14286
585,Embutido/chorizo viena- 1kg,Marca mas economica,2009,PROMEDIO,13556
586,Embutido/fiambre paris- 1kg,Marca mas economica,2009,ENERO,14674
587,Embutido/fiambre paris- 1kg,Marca mas economica,2009,FEBRERO,14381
588,Embutido/fiambre paris- 1kg,Marca mas economica,2009,MARZO,13639
589,Embutido/fiambre paris- 1kg,Marca mas economica,2009,ABRIL,14540
590,Embutido/fiambre paris- 1kg,Marca mas economica,2009,MAYO,13766
591,Embutido/fiambre paris- 1kg,Marca mas economica,2009,JUNIO,13307
592,Embutido/fiambre paris- 1kg,Marca mas economica,2009,JULIO,13617
593,Embutido/fiambre paris- 1kg,Marca mas economica,2009,AGOSTO,13437
594,Embutido/fiambre paris- 1kg,Marca mas economica,2009,SETIEMBRE,13377
595,Embutido/fiambre paris- 1kg,Marca mas economica,2009,OCTUBRE,13916
596,Embutido/fiambre paris- 1kg,Marca mas economica,2009,NOVIEMBE,15048
597,Embutido/fiambre paris- 1kg,Marca mas economica,2009,DICIEMBRE,14928
598,Embutido/fiambre paris- 1kg,Marca mas economica,2009,PROMEDIO,14053
599,Queso - 1kg,Queso Paraguay,2009,ENERO,6177
600,Queso - 1kg,Queso Paraguay,2009,FEBRERO,14806
601,Queso - 1kg,Queso Paraguay,2009,MARZO,16457
602,Queso - 1kg,Queso Paraguay,2009,ABRIL,17347
603,Queso - 1kg,Queso Paraguay,2009,MAYO,17872
604,Queso - 1kg,Queso Paraguay,2009,JUNIO,21762
605,Queso - 1kg,Queso Paraguay,2009,JULIO,23178
606,Queso - 1kg,Queso Paraguay,2009,AGOSTO,21816
607,Queso - 1kg,Queso Paraguay,2009,SETIEMBRE,20832
608,Queso - 1kg,Queso Paraguay,2009,OCTUBRE,19675
609,Queso - 1kg,Queso Paraguay,2009,NOVIEMBE,18101
610,Queso - 1kg,Queso Paraguay,2009,DICIEMBRE,16183
611,Queso - 1kg,Queso Paraguay,2009,PROMEDIO,17851
612,Queso sandwich - 1kg,Marca mas economica,2009,ENERO,10286
613,Queso sandwich - 1kg,Marca mas economica,2009,FEBRERO,18904
614,Queso sandwich - 1kg,Marca mas economica,2009,MARZO,19490
615,Queso sandwich - 1kg,Marca mas economica,2009,ABRIL,20463
616,Queso sandwich - 1kg,Marca mas economica,2009,MAYO,21849
617,Queso sandwich - 1kg,Marca mas economica,2009,JUNIO,24702
618,Queso sandwich - 1kg,Marca mas economica,2009,JULIO,25500
619,Queso sandwich - 1kg,Marca mas economica,2009,AGOSTO,25429
620,Queso sandwich - 1kg,Marca mas economica,2009,SETIEMBRE,25658
621,Queso sandwich - 1kg,Marca mas economica,2009,OCTUBRE,24202
622,Queso sandwich - 1kg,Marca mas economica,2009,NOVIEMBE,23840
623,Queso sandwich - 1kg,Marca mas economica,2009,DICIEMBRE,22657
624,Queso sandwich - 1kg,Marca mas economica,2009,PROMEDIO,21915
625,Aceite de soja - 900cc,Marca mas economica,2009,ENERO,15593
626,Aceite de soja - 900cc,Marca mas economica,2009,FEBRERO,6145
627,Aceite de soja - 900cc,Marca mas economica,2009,MARZO,6350
628,Aceite de soja - 900cc,Marca mas economica,2009,ABRIL,6118
629,Aceite de soja - 900cc,Marca mas economica,2009,MAYO,6176
630,Aceite de soja - 900cc,Marca mas economica,2009,JUNIO,6096
631,Aceite de soja - 900cc,Marca mas economica,2009,JULIO,6628
632,Aceite de soja - 900cc,Marca mas economica,2009,AGOSTO,6383
633,Aceite de soja - 900cc,Marca mas economica,2009,SETIEMBRE,6306
634,Aceite de soja - 900cc,Marca mas economica,2009,OCTUBRE,6386
635,Aceite de soja - 900cc,Marca mas economica,2009,NOVIEMBE,6503
636,Aceite de soja - 900cc,Marca mas economica,2009,DICIEMBRE,6666
637,Aceite de soja - 900cc,Marca mas economica,2009,PROMEDIO,7113
638,Aceite de girasol - 900 cc,Marca mas economica,2009,ENERO,14388
639,Aceite de girasol - 900 cc,Marca mas economica,2009,FEBRERO,9888
640,Aceite de girasol - 900 cc,Marca mas economica,2009,MARZO,9133
641,Aceite de girasol - 900 cc,Marca mas economica,2009,ABRIL,8652
642,Aceite de girasol - 900 cc,Marca mas economica,2009,MAYO,8299
643,Aceite de girasol - 900 cc,Marca mas economica,2009,JUNIO,8207
644,Aceite de girasol - 900 cc,Marca mas economica,2009,JULIO,8030
645,Aceite de girasol - 900 cc,Marca mas economica,2009,AGOSTO,8277
646,Aceite de girasol - 900 cc,Marca mas economica,2009,SETIEMBRE,8134
647,Aceite de girasol - 900 cc,Marca mas economica,2009,OCTUBRE,7971
648,Aceite de girasol - 900 cc,Marca mas economica,2009,NOVIEMBE,7750
649,Aceite de girasol - 900 cc,Marca mas economica,2009,DICIEMBRE,7773
650,Aceite de girasol - 900 cc,Marca mas economica,2009,PROMEDIO,8875
651,Aceite de ma¡z - 1lt,Marca mas economica,2009,ENERO,18141
652,Aceite de ma¡z - 1lt,Marca mas economica,2009,FEBRERO,14732
653,Aceite de ma¡z - 1lt,Marca mas economica,2009,MARZO,14541
654,Aceite de ma¡z - 1lt,Marca mas economica,2009,ABRIL,14484
655,Aceite de ma¡z - 1lt,Marca mas economica,2009,MAYO,14426
656,Aceite de ma¡z - 1lt,Marca mas economica,2009,JUNIO,14234
657,Aceite de ma¡z - 1lt,Marca mas economica,2009,JULIO,14275
658,Aceite de ma¡z - 1lt,Marca mas economica,2009,AGOSTO,14318
659,Aceite de ma¡z - 1lt,Marca mas economica,2009,SETIEMBRE,14296
660,Aceite de ma¡z - 1lt,Marca mas economica,2009,OCTUBRE,14337
661,Aceite de ma¡z - 1lt,Marca mas economica,2009,NOVIEMBE,14366
662,Aceite de ma¡z - 1lt,Marca mas economica,2009,DICIEMBRE,14436
663,Aceite de ma¡z - 1lt,Marca mas economica,2009,PROMEDIO,14715
664,Leche sachet - 1lt,Marca mas economica,2009,ENERO,2879
665,Leche sachet - 1lt,Marca mas economica,2009,FEBRERO,2878
666,Leche sachet - 1lt,Marca mas economica,2009,MARZO,2795
667,Leche sachet - 1lt,Marca mas economica,2009,ABRIL,2666
668,Leche sachet - 1lt,Marca mas economica,2009,MAYO,2840
669,Leche sachet - 1lt,Marca mas economica,2009,JUNIO,2805
670,Leche sachet - 1lt,Marca mas economica,2009,JULIO,2823
671,Leche sachet - 1lt,Marca mas economica,2009,AGOSTO,2798
672,Leche sachet - 1lt,Marca mas economica,2009,SETIEMBRE,2863
673,Leche sachet - 1lt,Marca mas economica,2009,OCTUBRE,2832
674,Leche sachet - 1lt,Marca mas economica,2009,NOVIEMBE,2820
675,Leche sachet - 1lt,Marca mas economica,2009,DICIEMBRE,2795
676,Leche sachet - 1lt,Marca mas economica,2009,PROMEDIO,2816
677,Lecha sachet - 1/2 lt,Marca mas economica,2009,ENERO,1453
678,Lecha sachet - 1/2 lt,Marca mas economica,2009,FEBRERO,1498
679,Lecha sachet - 1/2 lt,Marca mas economica,2009,MARZO,1463
680,Lecha sachet - 1/2 lt,Marca mas economica,2009,ABRIL,1412
681,Lecha sachet - 1/2 lt,Marca mas economica,2009,MAYO,1491
682,Lecha sachet - 1/2 lt,Marca mas economica,2009,JUNIO,1473
683,Lecha sachet - 1/2 lt,Marca mas economica,2009,JULIO,1489
684,Lecha sachet - 1/2 lt,Marca mas economica,2009,AGOSTO,1494
685,Lecha sachet - 1/2 lt,Marca mas economica,2009,SETIEMBRE,1519
686,Lecha sachet - 1/2 lt,Marca mas economica,2009,OCTUBRE,1506
687,Lecha sachet - 1/2 lt,Marca mas economica,2009,NOVIEMBE,1499
688,Lecha sachet - 1/2 lt,Marca mas economica,2009,DICIEMBRE,1495
689,Lecha sachet - 1/2 lt,Marca mas economica,2009,PROMEDIO,1483
690,Leche UHT - 1lt,Marca mas economica,2009,ENERO,3596
691,Leche UHT - 1lt,Marca mas economica,2009,FEBRERO,3512
692,Leche UHT - 1lt,Marca mas economica,2009,MARZO,3446
693,Leche UHT - 1lt,Marca mas economica,2009,ABRIL,3359
694,Leche UHT - 1lt,Marca mas economica,2009,MAYO,3475
695,Leche UHT - 1lt,Marca mas economica,2009,JUNIO,3445
696,Leche UHT - 1lt,Marca mas economica,2009,JULIO,3493
697,Leche UHT - 1lt,Marca mas economica,2009,AGOSTO,3614
698,Leche UHT - 1lt,Marca mas economica,2009,SETIEMBRE,3624
699,Leche UHT - 1lt,Marca mas economica,2009,OCTUBRE,3663
700,Leche UHT - 1lt,Marca mas economica,2009,NOVIEMBE,3588
701,Leche UHT - 1lt,Marca mas economica,2009,DICIEMBRE,3564
702,Leche UHT - 1lt,Marca mas economica,2009,PROMEDIO,3532
703,Leche UHT- 1/2 lt,Marca mas economica,2009,ENERO,1973
704,Leche UHT- 1/2 lt,Marca mas economica,2009,FEBRERO,1828
705,Leche UHT- 1/2 lt,Marca mas economica,2009,MARZO,1941
706,Leche UHT- 1/2 lt,Marca mas economica,2009,ABRIL,1816
707,Leche UHT- 1/2 lt,Marca mas economica,2009,MAYO,1887
708,Leche UHT- 1/2 lt,Marca mas economica,2009,JUNIO,1897
709,Leche UHT- 1/2 lt,Marca mas economica,2009,JULIO,1980
710,Leche UHT- 1/2 lt,Marca mas economica,2009,AGOSTO,1943
711,Leche UHT- 1/2 lt,Marca mas economica,2009,SETIEMBRE,1969
712,Leche UHT- 1/2 lt,Marca mas economica,2009,OCTUBRE,1987
713,Leche UHT- 1/2 lt,Marca mas economica,2009,NOVIEMBE,1955
714,Leche UHT- 1/2 lt,Marca mas economica,2009,DICIEMBRE,1968
715,Leche UHT- 1/2 lt,Marca mas economica,2009,PROMEDIO,1929
716,Yoghurt - 350 gr,Marca mas economica,2009,ENERO,2328
717,Yoghurt - 350 gr,Marca mas economica,2009,FEBRERO,2347
718,Yoghurt - 350 gr,Marca mas economica,2009,MARZO,2355
719,Yoghurt - 350 gr,Marca mas economica,2009,ABRIL,2332
720,Yoghurt - 350 gr,Marca mas economica,2009,MAYO,2307
721,Yoghurt - 350 gr,Marca mas economica,2009,JUNIO,2299
722,Yoghurt - 350 gr,Marca mas economica,2009,JULIO,2313
723,Yoghurt - 350 gr,Marca mas economica,2009,AGOSTO,2315
724,Yoghurt - 350 gr,Marca mas economica,2009,SETIEMBRE,2292
725,Yoghurt - 350 gr,Marca mas economica,2009,OCTUBRE,2309
726,Yoghurt - 350 gr,Marca mas economica,2009,NOVIEMBE,2279
727,Yoghurt - 350 gr,Marca mas economica,2009,DICIEMBRE,2256
728,Yoghurt - 350 gr,Marca mas economica,2009,PROMEDIO,2311
729,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,ENERO,2691
730,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,FEBRERO,2773
731,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,MARZO,3099
732,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,ABRIL,3239
733,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,MAYO,3216
734,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,JUNIO,3215
735,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,JULIO,3220
736,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,AGOSTO,3188
737,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,SETIEMBRE,3172
738,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,OCTUBRE,3168
739,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,NOVIEMBE,3175
740,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,DICIEMBRE,3164
741,Huevos de gallina - 1/2 doc.,Marca mas economica,2009,PROMEDIO,3110
742,"Fruta,hortaliza - 1kg",Naranja,2009,ENERO,2018
743,"Fruta,hortaliza - 1kg",Naranja,2009,FEBRERO,2301
744,"Fruta,hortaliza - 1kg",Naranja,2009,MARZO,2393
745,"Fruta,hortaliza - 1kg",Naranja,2009,ABRIL,2233
746,"Fruta,hortaliza - 1kg",Naranja,2009,MAYO,2267
747,"Fruta,hortaliza - 1kg",Naranja,2009,JUNIO,2225
748,"Fruta,hortaliza - 1kg",Naranja,2009,JULIO,2062
749,"Fruta,hortaliza - 1kg",Naranja,2009,AGOSTO,1956
750,"Fruta,hortaliza - 1kg",Naranja,2009,SETIEMBRE,2202
751,"Fruta,hortaliza - 1kg",Naranja,2009,OCTUBRE,2215
752,"Fruta,hortaliza - 1kg",Naranja,2009,NOVIEMBE,2526
753,"Fruta,hortaliza - 1kg",Naranja,2009,DICIEMBRE,2331
754,"Fruta,hortaliza - 1kg",Naranja,2009,PROMEDIO,2227
755,"Fruta,hortaliza - 1kg",Banana carape,2009,ENERO,2150
756,"Fruta,hortaliza - 1kg",Banana carape,2009,FEBRERO,2067
757,"Fruta,hortaliza - 1kg",Banana carape,2009,MARZO,2065
758,"Fruta,hortaliza - 1kg",Banana carape,2009,ABRIL,2070
759,"Fruta,hortaliza - 1kg",Banana carape,2009,MAYO,1858
760,"Fruta,hortaliza - 1kg",Banana carape,2009,JUNIO,1445
761,"Fruta,hortaliza - 1kg",Banana carape,2009,JULIO,1536
762,"Fruta,hortaliza - 1kg",Banana carape,2009,AGOSTO,1773
763,"Fruta,hortaliza - 1kg",Banana carape,2009,SETIEMBRE,2080
764,"Fruta,hortaliza - 1kg",Banana carape,2009,OCTUBRE,2300
765,"Fruta,hortaliza - 1kg",Banana carape,2009,NOVIEMBE,2422
766,"Fruta,hortaliza - 1kg",Banana carape,2009,DICIEMBRE,3457
767,"Fruta,hortaliza - 1kg",Banana carape,2009,PROMEDIO,2102
768,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,ENERO,1369
769,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,FEBRERO,2038
770,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,MARZO,1062
771,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,ABRIL,822
772,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,MAYO,1662
773,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,JUNIO,2314
774,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,JULIO,1369
775,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,AGOSTO,1321
776,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,SETIEMBRE,642
777,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,OCTUBRE,636
778,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,NOVIEMBE,778
779,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,DICIEMBRE,1031
780,"Fruta,hortaliza - 1kg",Lechuga - 1 maso,2009,PROMEDIO,1254
781,"Fruta,hortaliza - 1kg",Locote,2009,ENERO,4562
782,"Fruta,hortaliza - 1kg",Locote,2009,FEBRERO,3925
783,"Fruta,hortaliza - 1kg",Locote,2009,MARZO,3937
784,"Fruta,hortaliza - 1kg",Locote,2009,ABRIL,5023
785,"Fruta,hortaliza - 1kg",Locote,2009,MAYO,3782
786,"Fruta,hortaliza - 1kg",Locote,2009,JUNIO,4697
787,"Fruta,hortaliza - 1kg",Locote,2009,JULIO,6642
788,"Fruta,hortaliza - 1kg",Locote,2009,AGOSTO,5621
789,"Fruta,hortaliza - 1kg",Locote,2009,SETIEMBRE,6039
790,"Fruta,hortaliza - 1kg",Locote,2009,OCTUBRE,6186
791,"Fruta,hortaliza - 1kg",Locote,2009,NOVIEMBE,8074
792,"Fruta,hortaliza - 1kg",Locote,2009,DICIEMBRE,7760
793,"Fruta,hortaliza - 1kg",Locote,2009,PROMEDIO,5521
794,"Fruta,hortaliza - 1kg",Zanahoria,2009,ENERO,3720
795,"Fruta,hortaliza - 1kg",Zanahoria,2009,FEBRERO,4281
796,"Fruta,hortaliza - 1kg",Zanahoria,2009,MARZO,4354
797,"Fruta,hortaliza - 1kg",Zanahoria,2009,ABRIL,5206
