Nº,PRODUCTO,RUBRO,ANHO,MES,PRECIO
115,A granel - 1kg,Maiz,2009,NOVIEMBE,5108
116,A granel - 1kg,Maiz,2009,DICIEMBRE,5184
117,A granel - 1kg,Maiz,2009,PROMEDIO,3705
118,A granel - 1kg,Yerba,2009,ENERO,2903
119,A granel - 1kg,Yerba,2009,FEBRERO,2819
120,A granel - 1kg,Yerba,2009,MARZO,3371
121,A granel - 1kg,Yerba,2009,ABRIL,3171
122,A granel - 1kg,Yerba,2009,MAYO,3025
123,A granel - 1kg,Yerba,2009,JUNIO,3087
124,A granel - 1kg,Yerba,2009,JULIO,3131
125,A granel - 1kg,Yerba,2009,AGOSTO,3080
126,A granel - 1kg,Yerba,2009,SETIEMBRE,3092
127,A granel - 1kg,Yerba,2009,OCTUBRE,3009
128,A granel - 1kg,Yerba,2009,NOVIEMBE,2960
129,A granel - 1kg,Yerba,2009,DICIEMBRE,3083
130,A granel - 1kg,Yerba,2009,PROMEDIO,3061
131,Carne bovina - 1kg,Puchero de primera,2009,ENERO,8105
132,Carne bovina - 1kg,Puchero de primera,2009,FEBRERO,8011
133,Carne bovina - 1kg,Puchero de primera,2009,MARZO,6956
134,Carne bovina - 1kg,Puchero de primera,2009,ABRIL,6906
135,Carne bovina - 1kg,Puchero de primera,2009,MAYO,6771
136,Carne bovina - 1kg,Puchero de primera,2009,JUNIO,7388
137,Carne bovina - 1kg,Puchero de primera,2009,JULIO,8112
138,Carne bovina - 1kg,Puchero de primera,2009,AGOSTO,7982
139,Carne bovina - 1kg,Puchero de primera,2009,SETIEMBRE,8505
140,Carne bovina - 1kg,Puchero de primera,2009,OCTUBRE,8468
141,Carne bovina - 1kg,Puchero de primera,2009,NOVIEMBE,8674
142,Carne bovina - 1kg,Puchero de primera,2009,DICIEMBRE,8759
143,Carne bovina - 1kg,Puchero de primera,2009,PROMEDIO,7886
144,Carne bovina - 1kg,Carnaza de negra,2009,ENERO,21418
145,Carne bovina - 1kg,Carnaza de negra,2009,FEBRERO,21824
146,Carne bovina - 1kg,Carnaza de negra,2009,MARZO,21661
147,Carne bovina - 1kg,Carnaza de negra,2009,ABRIL,21085
148,Carne bovina - 1kg,Carnaza de negra,2009,MAYO,20348
149,Carne bovina - 1kg,Carnaza de negra,2009,JUNIO,21579
150,Carne bovina - 1kg,Carnaza de negra,2009,JULIO,22766
151,Carne bovina - 1kg,Carnaza de negra,2009,AGOSTO,24219
152,Carne bovina - 1kg,Carnaza de negra,2009,SETIEMBRE,24005
153,Carne bovina - 1kg,Carnaza de negra,2009,OCTUBRE,24310
154,Carne bovina - 1kg,Carnaza de negra,2009,NOVIEMBE,24761
155,Carne bovina - 1kg,Carnaza de negra,2009,DICIEMBRE,24804
156,Carne bovina - 1kg,Carnaza de negra,2009,PROMEDIO,22732
157,Carne bovina - 1kg,Carnaza de blanca,2009,ENERO,18133
158,Carne bovina - 1kg,Carnaza de blanca,2009,FEBRERO,18479
159,Carne bovina - 1kg,Carnaza de blanca,2009,MARZO,18693
160,Carne bovina - 1kg,Carnaza de blanca,2009,ABRIL,18315
161,Carne bovina - 1kg,Carnaza de blanca,2009,MAYO,17965
162,Carne bovina - 1kg,Carnaza de blanca,2009,JUNIO,18707
163,Carne bovina - 1kg,Carnaza de blanca,2009,JULIO,19337
164,Carne bovina - 1kg,Carnaza de blanca,2009,AGOSTO,19993
165,Carne bovina - 1kg,Carnaza de blanca,2009,SETIEMBRE,20298
